time,variety,part,stage,relicate,protein_content,,,
3.19,汉玉122,L,VE,1,7.1518 ,,,
3.19,汉玉122,R,VE,1,2.2200 ,,,
3.19,汉玉122,Em,VE,1,12.6992 ,,,
3.19,汉玉122,En,VE,1,1.3091 ,,,
3.19,汉玉122,L,VE,2,6.9227 ,,,
3.19,汉玉122,R,VE,2,3.3882 ,,,
3.19,汉玉122,Em,VE,2,13.2766 ,,,
3.19,汉玉122,En,VE,2,1.7203 ,,,
3.19,汉玉122,L,VE,3,7.6494 ,,,
3.19,汉玉122,R,VE,3,4.8202 ,,,
3.19,汉玉122,Em,VE,3,15.5424 ,,,
3.19,汉玉122,En,VE,3,2.4882 ,,,
3.19,郑单958,L,VE,1,8.1438 ,,,
3.19,郑单958,R,VE,1,7.6702 ,,,
3.19,郑单958,Em,VE,1,13.9655 ,,,
3.19,郑单958,En,VE,1,1.1231 ,,,
3.19,郑单958,L,VE,2,8.3070 ,,,
3.19,郑单958,R,VE,2,6.2308 ,,,
3.19,郑单958,Em,VE,2,13.2087 ,,,
3.19,郑单958,En,VE,2,1.2957 ,,,
3.19,郑单958,L,VE,3,7.8185 ,,,
3.19,郑单958,R,VE,3,6.6793 ,,,
3.19,郑单958,Em,VE,3,15.2582 ,,,
3.19,郑单958,En,VE,3,1.0082 ,,,
4.3,汉玉122,Sa,V2,1,1.8579 ,,,
4.3,汉玉122,L1,V2,1,1.2296 ,,,
4.3,汉玉122,Sb,V2,1,1.3607 ,,,
4.3,汉玉122,L2a,V2,1,1.4566 ,,,
4.3,汉玉122,L2b,V2,1,4.1476 ,,,
4.3,汉玉122,L2c,V2,1,4.7535 ,,,
4.3,汉玉122,L3a,V2,1,4.7050 ,,,
4.3,汉玉122,L3b,V2,1,9.0073 ,,,
4.3,汉玉122,Em,V2,1,7.5101 ,,,
4.3,汉玉122,En,V2,1,1.1936 ,,,
4.3,汉玉122,R,V2,1,1.0473 ,,,
4.3,汉玉122,Sa,V2,2,1.1073 ,,,
4.3,汉玉122,L1,V2,2,3.0988 ,,,
4.3,汉玉122,Sb,V2,2,1.0191 ,,,
4.3,汉玉122,L2a,V2,2,1.6850 ,,,
4.3,汉玉122,L2b,V2,2,4.2610 ,,,
4.3,汉玉122,L2c,V2,2,3.8498 ,,,
4.3,汉玉122,L3a,V2,2,4.1492 ,,,
4.3,汉玉122,L3b,V2,2,10.4334 ,,,
4.3,汉玉122,Em,V2,2,6.4623 ,,,
4.3,汉玉122,En,V2,2,1.8109 ,,,
4.3,汉玉122,R,V2,2,1.0622 ,,,
4.3,汉玉122,Sa,V2,3,2.1735 ,,,
4.3,汉玉122,L1,V2,3,2.5426 ,,,
4.3,汉玉122,Sb,V2,3,1.5613 ,,,
4.3,汉玉122,L2a,V2,3,1.2410 ,,,
4.3,汉玉122,L2b,V2,3,4.2055 ,,,
4.3,汉玉122,L2c,V2,3,4.3654 ,,,
4.3,汉玉122,L3a,V2,3,5.5879 ,,,
4.3,汉玉122,L3b,V2,3,9.9427 ,,,
4.3,汉玉122,Em,V2,3,6.8005 ,,,
4.3,汉玉122,En,V2,3,1.1928 ,,,
4.3,汉玉122,R,V2,3,1.0311 ,,,
4.3,郑单958,Sa,V2,1,2.1733 ,,,
4.3,郑单958,L1,V2,1,8.2950 ,,,
4.3,郑单958,Sb,V2,1,2.3916 ,,,
4.3,郑单958,L2a,V2,1,3.7128 ,,,
4.3,郑单958,L2b,V2,1,11.1475 ,,,
4.3,郑单958,L2c,V2,1,15.7909 ,,,
4.3,郑单958,L3,V2,1,9.7845 ,,,
4.3,郑单958,Em,V2,1,3.1434 ,,,
4.3,郑单958,En,V2,1,0.9514 ,,,
4.3,郑单958,R,V2,1,1.0828 ,,,
4.3,郑单958,Sa,V2,2,2.3730 ,,,
4.3,郑单958,L1,V2,2,7.9938 ,,,
4.3,郑单958,Sb,V2,2,2.7463 ,,,
4.3,郑单958,L2a,V2,2,2.3596 ,,,
4.3,郑单958,L2b,V2,2,7.5567 ,,,
4.3,郑单958,L2c,V2,2,12.1100 ,,,
4.3,郑单958,L3,V2,2,9.1002 ,,,
4.3,郑单958,Em,V2,2,4.5676 ,,,
4.3,郑单958,En,V2,2,0.7592 ,,,
4.3,郑单958,R,V2,2,1.4409 ,,,
4.3,郑单958,Sa,V2,3,2.9692 ,,,
4.3,郑单958,L1,V2,3,7.5795 ,,,
4.3,郑单958,Sb,V2,3,3.6495 ,,,
4.3,郑单958,L2a,V2,3,2.4392 ,,,
4.3,郑单958,L2b,V2,3,7.2636 ,,,
4.3,郑单958,L2c,V2,3,11.0639 ,,,
4.3,郑单958,L3,V2,3,9.0260 ,,,
4.3,郑单958,Em,V2,3,3.2615 ,,,
4.3,郑单958,En,V2,3,0.8915 ,,,
4.3,郑单958,R,V2,3,1.3381 ,,,
4.13,汉玉122,Sa,V3,1,0.2161 ,,,
4.13,汉玉122,L1,V3,1,1.4251 ,,,
4.13,汉玉122,Sb,V3,1,0.2151 ,,,
4.13,汉玉122,L2a,V3,1,1.3691 ,,,
4.13,汉玉122,L2b,V3,1,2.6787 ,,,
4.13,汉玉122,L3a,V3,1,0.9273 ,,,
4.13,汉玉122,L3b,V3,1,3.9634 ,,,
4.13,汉玉122,L3c,V3,1,3.2286 ,,,
4.13,汉玉122,L4a,V3,1,2.6725 ,,,
4.13,汉玉122,L4b,V3,1,3.5397 ,,,
4.13,汉玉122,R,V3,1,0.0328 ,,,
4.13,汉玉122,Sa,V3,2,0.2627 ,,,
4.13,汉玉122,L1,V3,2,1.2477 ,,,
